recomendacao_conteudo,qtde_ocorr,perc_ocorr
"Verificar se os contratos de transporte aéreo celebrados entre empresas de transporte aéreo e órgãos governamentais (IBAMA, FUNAI, ANS, prefeituras, etc.), estão sendo cumpridos de acordo com o que prevê a legislação aeronáutica aplicável.",1,0.08
Verificar se as Recomendações de Segurança de Voo emitidas durante o processo de investigação do acidente aeronáutico pelo SERIPA VI foram implementadas no 3° Batalhão de Busca e Salvamento.,1,0.08
"Verificar o processo de aquisição, conferência, catalogação e instalação de peças aeronáuticas por parte da VIMAER - Vidotti Manutenção de Aeronaves Ltda., no intuito de assegurar a utilização de partes genuínas aprovadas pela agência reguladora e pelo fabricante da aeronave, a fim de se evitar a utilização de peças inadequadas nos sistemas das aeronaves.",1,0.08
"Verificar junto ao certificador primário da aeronave, Federal Aviation Administration (FAA),a necessidade de revisar os documentos de certificação da aeronave modelo 650 quantoa utilização do sistema secundário de compensação longitudinal em condições de disparodo estabilizador horizontal.",1,0.08
"Verificar a possibilidade de tornar claro, na Instrução Suplementar N° 39-001, qual deve ser o tratamento dado aos boletins que o fabricante classifica como mandatórios e que não sejam convertidos ou incorporados por referência em uma Diretriz de Aeronavegabilidade.",1,0.08
"Verificar junto a Sikorsky a necessidade da emissão de documentação técnica relativa a procedimentos específicos de manutenção, aplicáveis às aeronaves com longo tempo em atividade, bem como às características próprias do envelhecimento de componentes específicos, principalmente no que se refere à fiação elétrica com material isolante do tipo KAPTON.",1,0.08
"Verificar as reais condições de operação do Aeródromo de Paragominas (SNEB), e adotar as medidas julgadas cabíveis para garantir a operação segura no aeródromo.",1,0.08
"Verificar as reais condições da pista de SWAQ, a fim de atualizar as informações acerca deste aeródromo em seu banco de dados, permitindo, por consequência, que o Departamento de Controle do Espaço Aéreo (DECEA) atualize o ROTAER conforme Resolução 158, de 13JUL2010.",1,0.08
"Verificar as condições operacionais da Táxi Aéreo Weiss Ltda, em especial no tocante ao acompanhamento das atividades aéreas e à aplicação do Programa de Treinamento.",1,0.08
"Verificar as condições de aeronavegabilidade das bombas hidráulicas (P/N HYC 5005), e adotar medidas que minimizem a reincidência de falhas elétricas em seus componentes.",1,0.08
Verificar a conformidade do heliponto da empresa Nanete Têxtil Ltda. com relação aos requisitos de segurança para operação de helicópteros.,1,0.08
"VERIFICAR SE OS PROCEDIMENTOS PREVISTOS NA TASK 35-090-00-01/02 TêM SIDO REALIZADOS CORRETAMENTE PELA GOL LINHAS AéREAS S.A., DE MODO A ASSEGURAR QUE OS REQUISITOS DE INSTRUMENTOS E EQUIPAMENTOS PREVISTOS NO RBAC Nº 121, NO QUE DIZ RESPEITO à PROVISãO DE OXIGêNIO PARA OS PASSAGEIROS DE AERONAVES PRESSURIZADAS COM MOTOR A TURBINA ESTEJAM SENDO CUMPRIDOS, UMA VEZ QUE, NA OCORRêNCIA EM TELA, EM ALGUNS ASSENTOS, BEM COMO EM UM DOS LAVATóRIOS, NãO HOUVE A LIBERAçãO AUTOMáTICA DAS MáSCARAS DE OXIGêNIO, QUANDO A ALTITUDE PRESSãO DE CABINE ATINGIU VALORES SUPERIORES A 14.000 PéS.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, a repetição excessiva de ocorrências aeronáuticas envolvendo aeronaves do Aeroclube de Bragança Paulista, recomenda-se intensificar o nível de fiscalização sobre a qualidade da instrução ministrada.",1,0.08
"erificar  a  conformidade  das  características  físicas  do  aeródromo  de  Garibaldi  com  os requisitos do RBAC 154 e determinar as adequações necessárias, se houver.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, realizar Auditoria de Segurança Operacional no Aeroclube de Blumenau.",1,0.08
"Tomar conhecimento do presente relatório e divulgar no âmbito da aviação geral, enfatizando os aspectos relativos à análise de todas as informações essenciais para o planejamento de uma navegação aérea com segurança.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, a repetição excessiva no  Brasil de ocorrências aeronáuticas envolvendo aeronaves de instrução pela não observação dos pilotos, no que diz respeito aos limites operacionais determinados pelo fabricante da aeronave, e claramente expressos nos manuais, recomenda-se intensificar o grau e o nível de fiscalização",1,0.08
"Tendo em vista que as empresas envolvidas no acidente em tela (TRIP Linhas Aéreas e AV Indústria Aeronáutica Ltda.) tinham procedimentos e processos definidos nos seus Programas de Manutenção e MPI, aprovados e aceitos, respectivamente, pela Autoridade da Aviação Civil e que cumpriram o que estava previsto neles e também nos Regulamentos Brasileiros de Aviação Civil, relacionados a esta atividade, e mesmo assim as falhas latentes se transformaram em falhas ativas, recomenda-se reavaliar a periodicidade e a qualidade dos processos de fiscalização com a finalidade de evitar acidentes aeronáuticos conforme previsto em legislação pertinente e vigente.",1,0.08
"Tendo em vista os fatos relatados neste relatório, reavaliar o manual de cargas externas do operador.",1,0.08
"Tendo em vista os fatos relatados neste relatório, realizar gestões junto à Escola de Aviação Civil Golden Wings Ltda., de modo a orientar pilotos e pessoal de apoio para o que prevê a ABNT NBR 15216, que trata da qualidade e dos cuidados no transporte, armazenamento e abastecimento de combustíveis de aviação.",1,0.08
"Tendo em vista os fatos relatados neste relatório, realizar auditoria técnica junto ao operador da aeronave, buscando certificar se a manutenção programada de suas aeronaves, bem como os serviços fora de sede que são realizados por oficina homologada pela ANAC.",1,0.08
"Tendo em vista os fatos relatados neste relatório, atuar junto ao operador da aeronave de modo a garantir que esta disponibilize aos seus tripulantes a tabela para balanceamento de peso da aeronave, modelo EMB 202A, com base nas diferentes configurações de peso, e levando em consideração os volumes de combustível e de defensivo agrícola utilizados. Além de permitir a adequada agilização e precisão dos cálculos e a evitar a operação da aeronave fora do envelope, de acordo com o estabelecido no Manual de Operação do fabricante da aeronave.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, recomenda-se intensificar a fiscalização sobre o operador do Aeródromo de Pirassununga, SP.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, realizar auditoria técnica no operador da aeronave com intuito de aprimorar os processos de instrução, gerenciamento e manutenção.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, realizar auditoria técnica no Aeroclube de Blumenau com intuito de aperfeiçoar o processo de instrução naquela instituição.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, realizar auditoria técnica na empresa Aeropalmas Táxi-Aéreo Ltda. com intuito de analisar e propor melhorias no processo de operação.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, realizar Auditoria de Segurança Operacional no operador da aeronave e na oficina mantenedora da aeronave acidentada.",1,0.08
"Tendo em vista os fatos observados durante a investigação e relatados no corpo deste relatório, realizar Auditoria Técnica no operador com objetivo de aperfeiçoar os processos de operação e manutenção aplicados.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, atuar junto à oficina Cheyenne Manutenção de Aeronaves Ltda., para que esta assegure que todas as ações de manutenção efetuadas estejam em acordo com as melhores práticas aplicadas nesta atividade.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, a repetição excessiva, no Brasil, de ocorrências aeronáuticas envolvendo aeronaves R-22 e R-44 pela não observação dos pilotos, no que diz respeito aos limites operacionais determinados pelo fabricante da aeronave, e claramente expressos nos manuais, recomenda-se intensificar o grau e o nível de avaliação dos pilotos por ocasião de cheque inicial e cheques de rotina.",1,0.08
"Tendo em vista os fatos observados e relatados neste relatório, a repetição excessiva no Brasil de ocorrências aeronáuticas envolvendo aeronaves aeroagrícolas pela não observação dos pilotos, no que diz respeito aos limites operacionais determinados pelo fabricante da aeronave, claramente expressos nos manuais, e a ausência de supervisão gerencial, recomenda-se intensificar o grau e o nível de fiscalização sobre este tipo de operação por parte da Autoridade de Aviação Civil.",1,0.08
"Tendo em vista todas as condições latentes reportadas no conteúdo deste relatório, intensificar a fiscalização na Lafir Táxi-Aéreo e na Parintins Táxi-Aéreo.",1,0.08
"Tendo em vista os fatos observados e relatados nest e relatório, a repetição de ocorrências aeronáuticas com aeronaves E-202, por n ão observação dos pilotos no que diz respeito aos limites operacionais determinados pelo fabricante da aeronave e claramente expressos nos manuais, intensificar o gr au e o nível de avaliação dos pilotos por ocasião de cheque inicial e cheques de rotina.",1,0.08
"Reforçar junto aos pilotos de helicóptero, nos cheques e recheques, a necessidade de um adequado planejamento para a execução dos voos.",1,0.08
"Ressaltar junto aos comandantes de aeronaves que operem segundo o RBHA 91, quando do processo de obtenção ou revalidação dos seus Certificados de Habilitação Técnica a necessidade de acompanhar o abastecimento da aeronave, quanto à adequação do combustível a ser utilizado, verificando sempre que possível o estado e a padronização dos placares nos bocais de reabastecimentos das aeronaves.",1,0.08
"Tendo em vista os fatos levantados nesta investigação, atuar junto ao operador para garantir o fiel cumprimento dos Regulamentos Brasileiros de Homologação Aeronáutica (RBHA) e dos Regulamentos Brasileiros de Aviação Civil (RBAC) em vigor.",1,0.08
"Tendo em vista a grande reincidência de Ocorrências Aeronáuticas envolvendo o Aeroclube de Braganca Paulista, avaliar a efetividade das Recomendações de Segurança consideradas cumpridas por essa Agência, sobretudo no que diz respeito aos procedimentos de instrução daquele operador.",1,0.08
"Suspender a operação da Piquiatuba TáXI Aéreo LTDA. at? que ocorram melhorias no gerenciamento da Segurança operacional, a fim de evitar as falhas observadas no presente relat?rio.",1,0.08
Submeter a proposta de estrutura mínima organizacional à apreciação da ANAC com intuito de permitir a sua inclusão na legislação pertinente.,1,0.08
"Solicitar que a empresa Líder Aviação que reforce a RSO n° 37/2009, a qual estabelece a implantação de um sistema de análises e supervisão continuada, conforme o previsto na Seção 135.431 do RBHA 135, a fim de assessorar o monitoramento da eficácia e da execução do programa de manutenção.",1,0.08
"Solicitar ao Operador a revisão do Manual Geral de Operações no que se refere à composição de tripulação, a fim de que seja cumprido o requisito previsto na letra (b) do item 91.957 do RBHA 91 Subparte K.",1,0.08
"Realizar gestões junto à Administração do Aeródromo de Bragança Paulista, a fim de garantir que tenham sido tomadas todas as medidas de mitigação dos riscos de ocorrências futuras, no tocante aos prestadores de serviço de abastecimento, quanto à manutenção dos seus equipamentos.",1,0.08
"Revisar seus procedimentos de manutenção do motor da aeronave EMB-202A, em especial no tocante à instalação da bomba mecânica de combustível, a fim de assegurar-se da conformidade com o previsto pelo fabricante.",1,0.08
"Revisar os requisitos existentes a fim de enfatizar, durante a formação do piloto civil, as características e os riscos decorrentes das ilusões e da desorientação espacial para a atividade aérea.",1,0.08
"Revisar os procedimentos de manutenção do motor da aeronave AB-115, visando assegurar-se da sua conformidade com o previsto pelo fabricante, em especial no tocante ao filtro de ar.",1,0.08
"Revisar o seu Programa de Treinamento, reforçando aos pilotos os cálculos de performance da aeronave, em especial no tocante aos limites de peso para decolagem.",1,0.08
"Revisar o seu Programa de Instrução do curso de Piloto Comercial, visando assegurar uma adaptação adequada dos pilotos ao modelo de aeronave utilizada, em especial quando o piloto teve uma formação básica em aeronave com trem de pouso diferente (convencional versus triciclo) e não está adaptado ao uso da comunicação rádio com os órgãos de controle de tráfego aéreo.",1,0.08
"Revisar o programa de treinamento de instrutores, a fim de verificar a existência de padronização na instrução referente ao uso dos freios após o pouso, visando evitar o capotamento da aeronave.",1,0.08
"Revisar e adequar a ICA 160-1, de forma a redefinir as competências do COMAER nos assuntos relacionados às inspeções de saúde dos pilotos civis, uma vez que a referida instrução é anterior à criação da ANAC.",1,0.08
"Revisar a regulamentação das empresas de aviação agrícola, visando incluir requisito referente ao gerenciamento do risco inerente às operações.",1,0.08
"Revisar os requisitos para concessão e revalidação de habilitação técnica em aviões classe multimotores terrestres (MLTE), a fim de assegurar-se de que o piloto detenha os conhecimentos sobre peso e balanceamento necessários à operação adequada da aeronave.",1,0.08
"Tendo em vista os fatos levantados durante a investigação e as ações tomadas pelo operador após o acidente, realizar auditoria técnica na Roraima Taxi Aéreo.",1,0.08
"Revisar a legislação que convalida a Vistoria Técnica realizada pela FAA, no sentido de assegurar que as aeronaves importadas daquele país sejam inspecionadas de maneira a garantir a operação segura em território nacional.",1,0.08
"Reiterar a importância do CRM como ferramenta de segurança operacional, por ocasião de eventos relacionados à aviação em geral, e nas obtenções e revalidações de CHT, destacando questões de divisão de tarefas, familiarização com procedimentos de emergência, com ênfase específica na manutenção",1,0.08
"Revisar a instrução de voo relativa a pouso de emergência em campo não preparado, visando assegurar-se de que seus pilotos tenham os conhecimentos necessários à escolha do local de pouso de maneira oportuna e adequada.",1,0.08
"Reforçar, junto às oficinas de manutenção das aeronaves englobadas no BS 200-057-A005, a importância do cumprimento do referido boletim, rigorosamente em acordo com as orientações do fabricante.",1,0.08
"Reforçar os mecanismos de supervisão junto à empresa CEAL Aviação Agrícola Ltda., avaliando o nível de maturidade do seu Sistema de Gerenciamento da Segurança Operacional (SMS), visando incrementar os níveis de competência e segurança operacional requeridos para o desempenho das atividades para as quais tal empresa é certificada.",1,0.08
Reforçar junto aos seus mecânicos a necessidade do fiel cumprimento dos procedimentos de manutenção de acordo com as ordens técnicas.,1,0.08
"Reforçar junto aos seus checadores a necessidade de assegurar-se, nos voos de verificação de proficiência (cheques e recheques), de que os pilotos de helicóptero possuam a capacidade de realizar a manobra de autorrotação de maneira adequada.",1,0.08
"Reforçar a atuação junto ao IBAMA, a fim de que aquele operador mantenha o nível de tolerabilidade do risco inerente à operação, incluindo a proteção das aeronaves, tripulação, outras pessoas com função a bordo, passageiros e terceiros dentro do Nível Aceitável de Desempenho da Segurança Operacional (NADSO) proposto em seu SGSO.",1,0.08
"Reforçar aos pilotos em sua área de jurisdição os riscos resultantes de aproximações não estabilizadas, incentivando-os a executar o procedimento de arremetida em tais situações.",1,0.08
"Reforçar a instrução para as suas tripulações técnicas, visando deixar claro o conceito de *aproximação estabilizada*.",1,0.08
"Reforçar a atuação junto à organização de manutenção Parintins Serviços de Transportes e Comércio de Peças para Aviões Ltda (CHE No 0208-01/ANAC), a fim de verificar, novamente, a conformidade dos serviços de manutenção realizados por aquela empresa, visando incrementar os níveis de competência e segurança operacional requeridos ao desempenho das atividades para as quais tal organização é certificada.",1,0.08
"Reforçar a atuação junto à Pulveriza Aviação Agrícola LTDA-ME., no sentido de garantir que a empresa passe a exercer uma adequada supervisão gerencial sobre suas aeronaves, em especial quanto às escriturações técnicas, a fim de evitar que essa falha latente venha a contribuir para ocorrências futuras.",1,0.08
"Reforçar a atuação junto à Pachu Aviação Agrícola Ltda., no sentido de identificar se aquele operador é capaz de demonstrar que os seus processos de supervisão gerencial asseguram o adequado levantamento dos riscos e ameaças relacionadas às operações conduzidas, avaliando o nível de maturidade do Sistema de Gerenciamento da Segurança Operacional dessa empresa aérea.",1,0.08
"Reforçar a atuação junto à Organização de Manutenção MANAV - Manutenção de Aeronaves Ltda. (Certificado de Organização de Manutenção 7304-05/ANAC), a fim de que aquela OM demonstre possuir e aplicar todos os recursos necessários, conforme regulamentação pertinente, à adequada prestação de serviços de manutenção.",1,0.08
"Reforçar a atuação junto à Nitz Aviação Agrícola Ltda., a fim de reavaliar a adequabilidade do Manual de Gerenciamento da Segurança Operacional (MGSO) adotado por aquele operador, verificando se as instruções contidas no referido documento estão sendo cumpridas pelos tripulantes da empresa, notadamente em relação aos itens que dizem respeito ao gerenciamento do risco.",1,0.08
"Reforçar a atuação junto à Mercaer Aviação Agrícola Ltda, a fim de que aquele operador aprimore suas atividades de supervisão gerencial e gerenciamento do risco estabelecidos no seu Manual de Gerenciamento de Segurança Operacional (MGSO), com o intuito de estabelecer barreiras eficazes ao erro humano.",1,0.08
"Rever o processo de fabricação e montagem dos motores TIO-540-AJ1A, em busca de uma possível falha que possa concorrer para um erro de instalação dos componentes: P/N STD-1737 (ring external retaining), P/N 71664 (Gear Assy, Fuel pump idler), e P/N 70474 (Washer, fuel pump idler thrust).",1,0.08
"Rever o processo de fiscalização de tripulantes, incrementando a atividade de fiscalização in loco a fim de evitar que tripulantes incapacitados exerçam funções a bordo em aeronaves de matrícula brasileira.",1,0.08
"Tendo em vista que, se considerado o PMD da aeronave EMB 202A a capacidade máxima em peso do hooper não é atingida, avaliar, junto à EMBRAER, a viabilidade de suprimir a informação carga máx. 750 kg próxima ao bocal de abastecimento do hooper, de modo a evitar que os operadores sejam induzidos a utilizar aquele valor sem considerar os cálculos de peso e balanceamento.",1,0.08
"Realizar um auditoria no Aeroclube do Rio Grande do Sul, visando verificar, em especial, a conformidade dos lançamentos no diário de bordo e as ações de manutenção realizadas.",1,0.08
Redefinir os requisitos mínimos necessários de formação dos pilotos de helicóptero da aviação civil brasileira de forma que estes tenham pleno conhecimento dos riscos relacionados à desorientação espacial para a atividade aérea.,1,0.08
"Realizar, no prazo de três meses, Auditoria Especial de Segurança Operacional na Empresa FM Publicidade.",1,0.08
Reavaliar se a sinalização vertical de orientação das aeronaves existente no sistema 10/28 de SBGL está atendendo os mínimos de segurança previstos no capítulo 5 do anexo 14 da OACI.,1,0.08
"Reavaliar procedimentos internos para que qualquer comunicação recebida via fonia, ou por qualquer outro meio, de ocorrência que não se enquadre como evento SAR, porém que possa ser classificada como ocorrência de interesse do SIPAER, seja comunicada ao elo SIPAER responsável pela área da ocorrência.",1,0.08
"Reavaliar os seu mecanismos internos de fiscalização e controle, de forma a certificar-se que as aeronaves de matrícula estrangeira, ao realizar pousos e decolagens no território brasileiro, estejam em conformidade com as condições de aeronavegabilidade continuada, notadamente quando da ciência prévia, dentre outras condições, de que essas aeronaves apresentaram panes que resultaram em pouso de emergência, bem como quando da tentativa de decolagem sem terem comprovado o devido retorno ao serviço.",1,0.08
"Reavaliar os requisitos operacionais de proficiência em língua inglesa, com a finalidade de estabelecer critérios mínimos de compreensão escrita do idioma, para pilotos que operem uma aeronave civil, cujo manual de voo tenha sido aprovado na língua inglesa.",1,0.08
"Reavaliar os requisitos operacionais de proficiência em língua inglesa, com a finalidade de estabelecer critérios mínimos de compreensão escrita do idioma para pilotos que operem uma aeronave civil brasileira dentro da jurisdição do espaço aéreo brasileiro, cujo manual de voo tenha sido aprovado na língua inglesa.",1,0.08
"Reavaliar os requisitos e a funcionalidade do sistema DCERTA (Decolagem Certa), uma vez que, mesmo tendo detectado a não conformidade, possibilitou que o piloto sem a habilitação técnica de voo por instrumentos, necessária ao tipo de plano de voo por ele assinado (plano *Y*), teve o plano aceito por meio do preenchimento de uma declaração de regularidade.",1,0.08
"Reavaliar os processos de fiscalização aeroportuária de aeródromos delegados por meio de Convênios, objetivando criar mecanismos internos que permitam mitigar os riscos relacionados à operação desses aeródromos.",1,0.08
"Reavaliar os procedimentos de controle e verificação das empresas de transporte aéreo regular, evitando que aeronaves sejam autorizadas a realizar voos sem o cumprimento das respectivas Listas de Equipamentos Mínimos (MEL).",1,0.08
"Reavaliar os critérios estabelecidos para a seleção de pista em SBGL, considerando os ensinamentos colhidos nesta investigação.",1,0.08
"Reavaliar os critérios atuais adotados nas Juntas de Saúde, a fim de impedir que pilotos que possuam restrição no CMA para voar com outros pilotos restritos, sejam julgados APTOS ao VOO SOLO.",1,0.08
"Reavaliar o nível da fiscalização realizada utilizando o sistema DCERTA, de modo a impedir as violações verificadas nesta investigação e expostas neste relatório.",1,0.08
"Reavaliar o modo de operação da Engefoto Engenharia e Aerolevantamentos S.A. com a finalidade de garantir um acompanhamento gerencial rígido da operação de suas aeronaves e tripulações, principalmente quando em áreas distantes da sede da empresa.",1,0.08
Reavaliar as condições de operação padronizadas com carga externa utilizadas pela empresa Atlas Táxi-Aéreo.,1,0.08
"Reavaliar a viabilidade da operaçã o VFR no período noturno, prevista na Portaria de Registro do Heliponto Privado Condomínio Laranjeiras (SDLA), (LAT 23º 20' 39*S / LONG 044º 39' 39W), PARATY / RJ, considerando a perda de referências visuais, logo após a decolagem efetuada em direção ao mar, sendo este o único sentido utilizado, devido à restrição de sobrevôo das residências, estabelecida pela administração do referido Condomínio.",1,0.08
"Realizar vistoria na pista do Aeródromo Aéreo Amazônia-PA (SSXN) para verificar o nível de interferência, na faixa preparada, de uma vala de escoamento de águas pluviais, situada ao longo da lateral da pista, longitudinalmente, a 10 metros do centro da pista, do lado esquerdo, no sentido 07/25, com o objetivo de avaliar e provocar a correção, caso necessário.",1,0.08
"Reavaliar seus processos internos de supervisão da segurança operacional, com a finalidade de garantir que os mesmos são capazes de identificar a degradação das condições técnicas e financeiras de uma empresa regulada, conforme aplicável, requeridas para garantir a segurança operacional nas atividades realizadas por essas empresas, conforme estabelecido no art. 27 de seu Programa de Segurança Operacional Especifico (PSOE-ANAC).",1,0.08
Realizar vistoria na pista da Fazenda Água Limpa (SDNQ) a fim de verificar suas condições de operação.,1,0.08
"Realizar uma auditoria na Tucano Táxi-Aéreo Ltda. com o objetivo de verificar o gerenciamento do risco realizado pela supervisão da empresa nas operações de suas aeronaves em pistas não registradas de aldeias indígenas, considerando que o RBAC 119, item 119.57,119 ampara esse tipo de operação.",1,0.08
"Realizar uma auditoria na empresa Aerovaley - Manutenção e Comércio de Aeronaves Ltda., com a finalidade de averiguar a conformidade de seus procedimentos em relação aos Programas de manutenção dos fabricantes.",1,0.08
Realizar visita técnica na empresa Aero-Agrícola Caiçara Ltda. com intuito de analisar e propor melhorias no processo de recebimento de partes e registros de manutenção após revisão de motores e demais componentes aeronáuticos.,1,0.08
"Realizar uma vistoria de segurança de voo no Aeroclube de Sorocaba, a fim de verificar as suas condições operacionais, em especial no tocante à padronização dos instrutores.",1,0.08
"Realizar uma vistoria de segurança de voo na oficina Axial-Aviação Ltda, visando verificar a situação dos serviços de manutenção realizados, em especial no tocante à inspeção de 100 horas das aeronaves PA-31T1.",1,0.08
"Realizar uma vistoria de segurança de voo na Oficina EJ Aero Agrícola Ltda., a fim de verificar os seus serviços de manutenção, em especial no tocante à revisão de motores.",1,0.08
"Realizar uma vistoria de segurança de voo na Fundação Nacional do Índio, visando verificar as suas condições operacionais.",1,0.08
"Realizar uma vistoria de segurança de voo na Flytec - Serviços Aeronáuticos Ltda., a fim de verificar a conformidade dos seus serviços de manutenção com a legislação em vigor, em especial no tocante à manutenção e revisão de carburadores.",1,0.08
"Realizar uma inspeção na TAIL TÁXI AÉREO ITAITUBA LTDA, visando à revisão dos procedimentos estabelecidos no Manual Geral de Operações (MGO) e no Manual Geral de Manutenção (MGM) da empresa de forma a verificar a sua eficácia e assegurar o seu fiel cumprimento.",1,0.08
"Realizar uma inspeção aeroportuária na pista de SIFH, a fim de verificar as discrepâncias relatadas neste documento, assim como outras que não puderam ser constatadas pela equipe de investigadores, por não ser o foco deste relatório.",1,0.08
"Realizar uma campanha de auditorias nas empresas agrícolas que operam no Oeste do Estado da Bahia, nas regiões dos Municípios de Luis Eduardo Magalhães, Correntina e Barreiras.",1,0.08
"Realizar uma avaliação nas operações da Empresa TASUL - Táxi-Aéreo Ltda., com objetivo de garantir os níveis de segurança de operação da empresa em completo acordo com a legislação aeronáutica vigente e o MGO adotado pela empresa.",1,0.08
"Realizar uma auditoria no aeródromo de Pauini (SWUI), a fim de verificar a conformidade das suas condições operacionais com os requisitos aplicáveis.",1,0.08
"Realizar uma auditoria naOliveira Táxi Aéreo -CHE0201-01/ANAC,a fim de garantir que aquela organização de manutenção possuae utilize os manuais aplicáveis para a execução dos serviços de manutenção, particularmente em relação ao modelo EMB-810D.",1,0.08
"Realizar uma auditoria na empresa operadora da aeronave, a MOSTARDAS AV. AGRIC. E MANUTENÇÃO LTDA., a fim de verificar os mecanismos de controle dos registros de manutenção lançados nas cadernetas de célula, motor e hélice das aeronaves operadas e a sistemática utilizada pela organização para acompanhar e avaliar o desempenho de seus profissionais.",1,0.08
"Realizar uma auditoria na empresa Guben S.A., a fim de verificar a conformidade dos serviços de manutenção realizados.",1,0.08
"Realizar visitoria técnica na empresa Heiss Táxi Aéreo Ltda, com intuito de analisar e propor melhoria nos processos de Gerenciamento da Segurança Operacional, principalmente quanto à análise do perigo e ao gerenciamento do risco.",1,0.08
Reciclar-se com relação ao RBHA 91.,1,0.08
"Realizar uma auditoria na Aerocampo Manutenção de Aeronaves Ltda., com a finalidade de averiguar a conformidade de seus procedimentos com os Programas de Manutenção dos fabricantes para os quais a oficina estiver homologada para realizar serviços.",1,0.08
